DJA	NDX	NYA	OEX
0.979719189	0.978128253	0.991193645	0.987789353
1.001125035	0.977949544	1.01432406	1.014071171
0.906709773	0.860769824	0.905463224	0.912983712
1.058461245	1.027090137	1.042313663	1.04568052
0.968213507	0.983008837	0.985220384	0.988942922
1.00663299	0.999547881	1.015701747	1.026015054
0.994214739	0.946938989	0.979927724	0.990869903
0.957817438	0.934008194	0.958226997	0.95414505
1.053706256	1.097582565	1.046787268	1.048200278
0.951886236	0.945	0.964224502	0.960257207
1.001402972	1.004741044	0.999659226	1.000028136
0.996511976	0.944168664	0.977593411	0.979320823
0.951636674	0.929272535	0.934679452	0.936077913
0.937981416	0.862772938	0.962148291	0.952797471
0.969770044	0.960355059	0.975456522	0.984796263
0.966117073	0.89601724	0.943828192	0.947993327
0.994910322	1.026078642	1.010107909	1.005623986
1.053196448	1.093530259	1.054332883	1.051259178
1.131645626	1.153758748	1.099624311	1.10535248
1.008115217	1.067484388	1.004519719	1.003306956
1.008816084	0.990312841	1.007469944	1.008416716
0.941874327	0.87154351	0.921551679	0.91703146
1.033071348	1.035614508	1.029530544	1.018457818
0.974281198	0.975462713	0.979769196	0.976408462
0.973095216	0.971262295	0.991424424	0.985279058
1.078746066	1.108423294	1.074601512	1.069734962
0.98190513	1.002725222	0.980822383	0.980203431
0.991558192	0.991846555	0.984006921	0.984976613
1.067146925	1.016957528	1.030441117	1.022580036
1.022743756	0.98063077	1.006699204	1.00624308
0.937159066	0.965180964	0.985354017	0.982426113
0.915657742	0.954777739	0.924590438	0.917371827
1.002934757	1.048683921	1.005337388	1.011767499
0.978270285	0.934396047	0.968018783	0.975666164
0.943329806	0.927171148	0.95668158	0.950187227
0.987762998	0.988809383	0.981042979	0.990780578
1.032715642	1.01458186	1.025475371	1.039556269
0.926856091	0.951413096	0.937766048	0.926214546
0.975349299	0.953638465	0.98489938	0.986356401
1.007249435	1.033070308	1.019750507	1.015253977
0.980318454	1.026232979	0.978528901	0.972372554
0.956754039	0.953335378	0.965617899	0.965788347
1.043807897	1.059446183	1.034120333	1.049729991
1.00905097	1.043414661	1.007301971	1.004491708
0.940991542	0.91704801	0.958379252	0.95474871
1.000875007	1.014854769	0.99885009	0.991673672
0.994608843	0.984879491	0.991410517	0.982480927
1.025157484	0.996421563	1.026327164	1.049509018
0.950166286	0.921744671	0.957930003	0.962104604
0.976579163	0.98190159	0.959067973	0.969482422
0.949780895	0.8776	0.938218814	0.939645765
1.079348467	1.094402917	1.085662615	1.108718957
1.292435437	1.369394283	1.280115262	1.271049875
1.025043324	1.019804871	1.023412617	1.032836767
0.980640373	0.936896099	0.968447983	0.957006076
0.95423009	0.963789152	0.957625907	0.958698092
0.950040761	0.997516381	0.955629267	0.953139111
0.985029975	0.979128039	0.996210785	0.99456064
1.011842539	1.006546556	1.01860584	0.995271868
0.987993578	0.982315631	0.976608821	0.968518453
0.968147241	0.912038304	0.963585418	0.962553534
0.896225841	0.848387581	0.887706204	0.87880286
1.024238312	1.046214773	1.028792542	1.021506772
0.983251845	0.97661214	0.984915423	0.972295179
0.947969868	0.951654208	0.950294997	0.956866504
1.046740397	1.103312848	1.089024494	1.080593753
0.932531168	0.953889255	0.935108716	0.936120007
1.058719017	1.123769047	1.059462996	1.067518905
0.994098875	1.003351474	0.986730605	0.995319615
